@awillert im so jealous..i want salsa, but the cookies were AMAZING!
@awlred they dont exist however, anodising services do exist, so i could get it done *-)
@azraeel Got home after 10 in the end, back in for a 9am start aswell
@BatManYNG I miss my ps3, it's out of commission Wutcha playing? Have you copped 'Blood On The Sand'?
@beccaacyrusx chyeahhhh ;) my shoulders, back and legs all hurt atm
@beckamcmaster general cleaning, very dull
@benackerman BTW my iPhone is acting funny, dying quickly and freezing and BS. I'm not admitting anything, just sayin
@BenPritchett goodness me, how did you find me?? it's good to hear from you Ben! I still have your video game and book...I apologize
@big_blue_wolf Not yet, no. Doubt I'll get a chance to until tonight. Work's mental, thanks to BT cutting off 70,000 customers today
@binxy thanks! i started sniffling like crazy at the gym today boohoo, but lots of vitamin C should do the trick!
@bivancamp aw, that suuuucks Sorry dear!
@bletchleypark Visiting this weekend is the Computer Musuem open on Saturday, last time I came it was closed
@BonnieBix controlling own life not possible uni after graduation, when i start masters. boohoo
@bradiewebbstack :O socks and showers? they dont mix, trusst me. they get wet and you cant wear them anymoreee its miserable
@bradiewebbstack ew not meatloaf. go with pie..wow you said that like, 2 hours ago. omg as soon as i logged off you got on. typical
@breezyskies I did the PET course last time I was in SF. OK on theory (which I knew), not so good on tools (what I was after)
@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget
@brightillusions only one to fill that position. They've just tightened our borders or something Which sucks, I want you to move here!
@britneyspears just read up about the film, looks good!! Although we over here are gonna have to wait for it to come out
@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys. FUCK YEAH ALICIA &amp; MIKEY.
@carolrainbow no Internet at home, have to drive into Ox to use Internet because of builders!
@catdevnull nah, same one, rang up to see what progress was, someone else has offered but been rejected, they reckon 117-118+ to get it
@CathySavels oh, no I've been there as well... the brother of one of mine, but I still see him sometimes around where I live
@CatQ was so thinking of you, family and friends. Glad you're okay! But It's a black day for Italy, with all those people killed.
@chandarenee yo,yo.... hope your well, haven't seen ya'll in a minute
@Charliecondou 4SkinMusic, more like
@charlotteSK feel better, pally!
@cheekybeer Document Management Systems always a good idea, although rarely seems to happen in practice
@cherrytreerec oh man, i can't see the vid. its ot available in my country.
@CherylTheLibr_n Thanks for the Rebuilders/Rebuilding tip. She's trying to help her mom thru a divorce, and herself thru a breakup.
@chester_see Yes, I often take the risk of running down the DLR steps but today I just missed that last step and twisted my ankle.
@chewbeka yeah it is brutal at least it's not until June lmao. But I'm excited, then we have to get onto another plane to Canada LOL
@chhavi Working, working, working.
@CHRISDJMOYLES didnt get tickets live in MK, gutted xx
@chrisgedrim that's it, we're over
@christieeee Aww, I'm so sorry dearyy
@ChristinaStokes Is SH working for you? For me, It says that the website is down?
@cjmgrafx I guess it would be, sorry.
@Claire_S Will you be videoing or streaming or podcasting, Tweeting or anything else? Can't make it unfortunately.
@clairefallen Nah, everyone!
@cloudpimps d'oh! At least you're getting a decent exchange rate at the moment, sterling is still getting flogged
@cocoy A person who's genuinely interested in English, Filipino, programming, and teaching should make that paper. Oh wait, that's me.
@Coll_aka_Aubrey Oh, you were joking? Well now I'm crushed! I was totally gonna stand in the middle of a field and wave my arms!
@corienb Kutner's gone?? Really have to see the new episodes, urgently! But they aren't available on DVD yet.
@cottoncandizzle Ur SO right.. I wish I was in NYC, too.. Or Los Angeles.. Las Vegas.. Awww &lt;/3
@craftjuice thank you. Since I can only use the url once, I won't be able to add individual items
@Craftysince1990 Lol, that's sweet! I bought tickets last year &amp;&amp; my PartnerInCrime flaked so I didn't end up going but this, FOR SURE!
@crazytwism i know..they block orkut in dubai!! in oman they have orkut access,but skype is banned! ru from the gulf?
@Cuckolds I'm being set up again except now I'll have to watch her with 2 huge membered guys, I feel like a hat stand
@cupcakesfortwo no pain to really be the issue though, there's the thing.. can't figure it out...
@cyantificNHS Balls Although without the tunes, it's just a holiday then ;-)
@Cynnergies Yep, I also seem to get a real slowdown most evening after around 6pm GMT
@d_castillo ugh, that's disconcerting
@dadi_iyal and you'll get familiar with twitter pretty soon!!! i'm not coming back this summer, so that means i dont even see you then?!
@daNanner aw, sorry to hear that.
@danfairs cheers dan, is for a Notes developer at the university. 3 hour lunch break now
@Dangerm0use I think maybe you should get a couple more hours of sleep, hon. How productive can you be right now if ur dog tired? I worry
@danphelan Urgh, it was just the video, and they cut the Robots part!!!
@dark_butterfly Not just you. I thought he looked paler, too Probably from drama filming. Jun looks healthier than ever, though.
@Darnell hmm, still a nogo. Up here in Canada we're pretty restricted to what tv we can watch online because of copyright laws.
@darraghdoyle ah pox, say it isn't so
@David_Laing I saw that, wish #Virgin would do that!
@DavidT2006 Virgin again today, I'm afraid as I'm pushed for time. Having said that, I was delayed 40 mins at Brum
@DeuceWT i am!!!!! then we gotta meet in Royal oak with some stylists for these shows... THEN we got a show tonight... man, ima be tired
@DG8ball yeah? If you get spraying, I'm going to have to pay you to spray my M3 at some point. They dont to e46 M3's in white in europe,
@DHughesy Thats when i have my birthday, but we already have plans
@DHughesy What made you say twitterers are witty as f###? I guess I'm not one of the witty ones, since I had to ask
@divapromotions I agree, sendout cards rocks! Just sent one today to a dear friend that I had to let go
@DJAbsoluteValue means nothing to me, I still have to work Sat and Sun and they took my twitter away
@djsoulsister yeah, great vid. I had the 12&quot; single, but sold it a few years ago
@dkingh Glad you still like it! Still want one of my own hahaha, but i don't have the time to make one...
@dkoenigs thanks man. I'm so very grateful. I feel unworthy of such attention, though, because I'm in this because of myself...
@DonnieWahlberg Wise words but life sometimes doesn't work out as you plan, life has a habit of kicking you when you're down.
@doqtu84 too much flash, and the guestbook is outdated
@dottedwithearts lol, i still gotta work. always do
@dougiemcfly @tommcfly good morning guys, how are you all? You know, it's frustrating, I never get a reply
@Dr_Black yes, i was invited but will be in San Francisco. Very sorry to miss it
@DreadKey IÃ¯Â¿_m K.O'd .. battered and bruised! ... my arm .. The tambourine.., self conflicted pain!
@drowninginkids Crap. Okay, okay so clearly I love Canadians. I forgot about @schmutzie &amp; @palinode too. Y'all make mass enslavement hard
@duncn Revision, again. Oh, and morning @itscammy!
@eb0204 emily, wth do you ever sleep???? lol Hey I miss the guys!!!
@edbehrens 'Thanks for all the good luck! Alas, I wasn't good enough don't really want to explain but thanks for everything I &lt;3 you all'
@edent There wasn't an &quot;if you actually read this, send us an email to win a prize&quot; clause in there
@edibow haha, I have snot power too......1 week and counting!
@edibow No it wasnt a super hero it was slimer from goast busters, i have it too
@eileenb I had that a while back (http://tinyurl.com/dmukpr), and I know some other people that have too
@EIsie Mate that's rubbish 10pt hug. Tom covered in spots and obviously not happy, but Doc says it's nothing 'bad'. Tell that to Tom...
@elanorelle Niceee... we ran out of filter coffee art work , not good , forgot my bread to make toast bad start to the day
@ellievolia If oooonly we were really so lucky, eh? And awh Definitely too early for work.
@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting.
@emilyruppe Well he said that he is a looser, and that is what the show implies
@emitstop So true, I have it and don't use it
@emmabush Well, I didn't mention the stale Peeps.
@emmaketurah i'm sorry Emma, is swarley a goldfish? i'm sad for u.
@empiremagazine You are not following me anyway so no probs. Want to be followed, so lonely lol
@endearingevania I sure wish I could go with you guys tmrw. But as per usual, school interferes.
@eri74 Goodmorning! hahaha, let me guess .... CB? hahaha me not
@esuriospiritus time to come back to flawda for double dates! no, seriously, i'm sorry to hear that.
@ewarden, you may have to email this one to me I hope you feel better.
@ExMi Hey doll, sorry to hear bout ur doggie Hope he comes home soon! Would help u look if i weren't so far away!!
@FadyAnwar its sad cause that was the last GSM company owned by Egyptians, also Orascom was inforced to sell its share to FC
@fairy06 OMG WTF! Sure, he talks NOW. I'm at school. I don't have a phone...
@fallbrooke Eric, get a twitter! Lol and sorry about your teeth... why are you getting them out? Dentists will do anything for money....
@flowersophy I slept so much when I was a little girl! I just started to not sleep as well, when I turned 20
@forfolkssake Not only is a reply to that email imminent, but also -shock!- that second review that was due yesterday. Housebound is bad
@foxiehaha I wish, going for a blood test tomorrow am not well unfortunatly
@FoxWhisperer clean, but it resulted in the soft top beaing soaked wet, so I couldn,t open it should be dry now
@francesdath not bad, transitioning, being visited by many globe wandering gypsy queers at the moment... but you are missing
@FranzGlaus I know, just wanted to let everybody know what was happening
@FREDDIESDOUBLE glad i'm not at work, but fed up of being in pain... permanent earache for almost a yr is not fun
@friendlypharm too bad it's true, for the most part
@Frostee Sweetheart, he's from Russia... I think you're stuck with the snow.
@FrumiousMe T'was the antibiotics for root canal. Will take Polaramine tonight for hives, other symptoms have gone now thank goodness.
@Frumph I'd hug you, too! Poor Frumph.....
@GABBYiSACTiVE brat! You have to rub it in, don't you.... I want a mocha
@GabrielBerlin thanks but aka-aki app for iPhone seems to be blocked by french operator bouygues telecom, it only works in WiFi
@garkbit No idea how that thing works - I put my own ID in there and it recalculated with me in 10th place, didn't see you though
@gavlp yes, I hope these shocks are going to stop soon - I think I'm getting angry with Earth itself
@Gemmaface Awww Gemma, I hope you're not
@gerrycoe Hi Gerry, I'm in Dublin most of the time; college
@ginoboi oh..i HATE you for getting to watch Slumdog this early me, i have to wait for the actual day it's coming out
@Glinner awwh I feel dirty now, having followed an amateur armando damn fakes!
@Godfrey_G2da3 Yup, 5 exams and 4 coursework, kmft..plus my pratical nxt mtnh! how woz ur driving lesson? knocked over any pigeons? :p
@goodlaura What about Reese dying on #TTSC? And season finale next week. #24 boring, Madame President is a crazy woman.
@grahambeale hi mate, I am actually in the land of the un-well but I hope you get a big send off!
@greyhoundgal omg front page! i'd be so excited, congratulations. sorry about torres hurting his paw tho is that your dog?
@griffmiester no exchanging for me, my laptop hasn't arrived
@Gripping agreed! love the sound, but hates how everyone knows them
@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine
@guybatty oh I'm so sorry to hear that very sad thing, he was so young
@hadtobeyou I'm at 900 words, it's all can do I'll finish tomorrow maybe
@hairpins haha well what makes you think you don't use big words too? SADISTIC! :p what did i say any way? and no i don't, sorry babe
@hairpins ohh how i envy you natalieeee! i need a new wardrobe, and something to wear out the weekend after this!
@hamporter I always walk by the annex hoping to see you, but instead I get the Nguyen family
@hannahsix cream for his eye and he may have herpes - not ocular herpes, but a different strain. He's doing okay though.
@Health4UandPets saw the one with a GSD covered in them, and I could not stop crying. I just bawled and bawled
@heatherlibby Oh well, she seems like trouble. Christian Slater is trying to kill her at the moment.
@Hedgewytch oh that's horrible about Innocent Smoothies! we love them, but if they start putting rubbish in them
@hedj But I'm not drunk now! I needed it last night, I was sounding a bit desperate I think
@heidimontag I dvr'd it and went to watch it, apparently the dish network went down SO I MISSED IT I will have to catch a rerun!
@heidimontag Lauren is being stubborn. she loves you, you love her. I feel so bad for you, though. it made me cry lol!
@Helenszone unfortunately no, it's in the non-nkotb section i'm still trying to figure out my AS spin-off..
@helenvking I feel for you, commuting on packed trains is hideous
@Henkuyinepu yeah, apparently i have really bad taste
@henrygooden @oddchicken I went there about a month and a half ago, was still open then. Smelt really good, but I was getting sick
@Heromancer come back to orlando again sooon! i couldn't make it to the show, sadly
@Hetty4Christ heh, yeah, I shakily conquered the ladder. Pointless job, tho. We're too far away to receive digital signal w/ antenna.
@hollaglam my fav English teacher, she just had miscarriage. &amp; u knw wht makes me sad even more? she was going to name her baby Tamara
@hollyalyxfinch Oh, Holly! Take no notice of these morons - we think you're wonderful and very talented
@holmpat Morning Pat! Another one in sunny spain? Except its not sunny here today, cloudy and raining.
@holyschmoke aw don't remind me, I love this time of year cos there is so much rugby on but it also means the end of the season is nigh
@Honey3223 I did get some disgruntled people when I wrote my ESN, but the 1000 hits in one day made up for it. Bill pulls in 250 tops
@honeyortar the hinge broke it works, just doesn't open smoothly and it's pissing me off. I dunno I'll see if it can be fixed first.
@hugbubble Im keeping my distance well well away from your comments , this is not good for the male species
@ianmack First season yes, descended into creepy teen boy humour in season 2 Still &lt;3 Mulder/Moody though.
@iloveAC slut, you never talk to me! but yet you talk to rinn! waa waaa waaaaaaaa lol i love you courtney (:
@Indigored_hot sorry your day was a waste, hope you found some good bits in it and YAY you are homeward bound.
@innocentdrinks prob not first to say this, but I really really hope this coke deal isn't the end of the innocence!
@intelligensia I totally get you, why you did it is beyond me, I rediscovered some new bones on my back after Sundays escapades
@ipathia I totally adore cats, I have 2 males and a female. We recently lost our kitten female. She disappeared (7wks now)
@iphoneincanada no wait, their $10-cheaper package has 150 more voice minutes! It's cheaper and substantially better! Messsedd upppp!
@itsangie i canceled it, with plane tickets, hotel stay and tickets.. it was close to $400 if we eat cheaply. man i soooo want to see O!
@ItsChelseaStaub Goodnight, Chels. And sorry about the major layout-delay. &lt;3
@ivyclark - the name was ironic when first used (10/2/04), and it stuck (now over 5 years later). Of course, all irony is lost in time
@izzy4u thanks dear... we had two more tremors today, I'm ok but the poor people in l'Aquila are really in difficulty
@JamboTheJourno I am indeed, the one with my RLC interview in. Good stuff, thought I'd finally found something no-one else had
@James_yeah gah, poor illazilla and shame about the mutt but best of luck this time around!
@JamesHancox That was a great idea, I invited her to Queen Vic market with me on Friday.Then realised it was Good Friday and it's closed
@Janelle76 i want a phone that i can FB,MS, and twitter from!!!!
@januarycrimson Sorry, babe!! My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*
@jaredleto i can't sleep i need to work on my speech about huka and youth, i hope i get the 10 full marks
@JasonVonBerg I've advertised on our blog, through career sites and used agencies... not sure how else I can go about it....
@javastix as of now, it still ain't up yet
@JCTurner Yeah, not good. Even going back to 2.2.1 didn't resolve it.
@jedi58 Yup. The whole game was amazing technically, it looked great. Gutted I sold the game and my original Xbox now actually.
@jeffsmithcars Why would you want to send traffic to that page? At the bottom, you say you're not done
@jennifermf I know! I'm a night owl by nature, hahaha Am I a time zone behind you? It's almost 1 here
@jennnnie yes, and the next project's wool is hiding from me...it was there on friday when i went to craig's place
@jeorgina Aww, Georgie! Those boots sound killer though. XD
@jessicastrust Sorry, I've run out of milk....
@jetshun4 persons who read my twitter can't catch up for another week. Can't talk about it here. But yeah, saaaaad.
@jillglavan soooo disappointed your T.I. party is when I leave for Vegas. I was so jacked up when you first talked about it, now nothing
@JoannaFBeckett, i don't think there's one close by. Last time I checked, the closest one was 70 miles away!
@JoanneSkywalker It's really depressing!!! It teases me, by working fine up until I try to save the people I created. What the hell! AHH!
@jobeaz damn, sorry I missed it... But I'll be in Brisbane until Thursday night
@JohnGreenaway o that's fantastic. i hate timesheets, but they are forcing me to do them now
@JohnPeel haha yeah that is the most ad could manage!! this is hell were bloody brilliant, crowd turn out was pathertic though
@jon8737 that just totally made my night, LMAO. They were like screaming at me and I couldn't focus on the 900 mph song
@jona_thin sorry, must of left a corel install cd somewhere in you room then..
@JonathanRKnight You sure did do some tweets, and i missed them glad to see you're enjoying urself, always nice to hear from you. x
@JonathanRKnight @silver_tulip27 Um, that would be a hell no to the fugly poker dog pants on the cruise! Hi Jonathan, sorry I missed you
@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,sheÃ¯Â¿_s not well
@JonathanRKnight...I saw the show in Columbus, OH on 4/4...tried 2 go 2 cincinnati, OH 6/27, but it was sold out U GUY WERE GREAT!!!!!!!!
@jonnyisgeek I cant watch, it sucks
@jonpaulkaiser I'm probably worse than you lol so sorry, these photos are seriously long overdue last time I buy a Sony cam: rubbish!
@jordynhill7 oh i cic, so much meaning to that ring. but i have a feeling i'd lose it
@joshsharp no money yet, i dont know anyone who has maybe its all just a lie!! hes having us on so we all like him a little bit more lol
@josordoni yeah it was good news, a y combinator interview next week! dunno bout the oyster, will just suck it up I guess
@joypalmer I wake up at 2am and think, ah yes, that's mice running around in the ceiling again
@jphni20 Thanks, I have that one myself - haven't had time to look at it yet though Sounds like I should!
@jpiasentin Same, but unfortunately I have to pack now
@JULIE_MOORE You and me both ,bad mood, knackered and generally feel like sh*t....should have stayed in bed !
@Juzley Yaaaay, maybe I should've gone
@jvmediadesign I have pic of bucket kitty!! but, I'll probably post it tomorrow now. means having to find cables and connections...
@Kailuh Dis guy was talking about his brother's cock, and thats all I feel like talking about EWWW You can figure out the rest.
@kaitlinmonroe Aw, that sounds so fun! I'm so bummed that I missed it Did you get to meet anyone?
@Kal_Penn arrrggghhh, and I hadn't seen last night's episode yet! Pity to lose you, though.
@Kal_Penn Ok well I think I just got a spoiler for this episode, I haven't seen it yet, i'm in the UK!! gutted now.
@Kal_Penn The thing that sucks the most is that you were the one I was most excited for, even before I knew who the final team would be.
@kangaroogav Preach brother, Special K, Single gammon roll &amp; water, no dinner
@Kara_YourSoJT Depends when you're going though. Dont want to be hanging around town for ages.Ooo Aisha,TUNE!Doreta Beach would rock! x
@karinhoegh So true. I love Frienfeed, but there are so many cool apps out there that delivers value and so little time
@kateblogs no, it's because i'm an author, not a subscriber
@katebornstein which is pretty anti memorial tattoos but for all but the strictest, there's no official BAN, just disapproving family
@Katestar Oh yes, extremely fun when whoever you talk to actually doesn't want to talk to you... I'm so lonely
@katsun At this point, I'm trying to remain optimistic that it won't be as delayed as Live365 but it's getting harder each day
@kaylee110 *yawns* i'm pretty good, thanks, awww i'm sorry to hear that! feel better soon &lt;3
@kaymurphy love him, he never answers me back though mind u all i say is hi
@kel_marshall tell me about it, had some mortgage quotes last sat. Going to be skint for the next 30 years.
@KelleyRowe hey, you remember that time we used to be friends?? ;) ugh. vomit. sick. i need sleep
@KevAnthony let me give you a hug, its cold here too
@kevatkinson My bro and sis but very young, mums working today so thought i would help out... I don't have any sun
@KevinPeterson the 2G cases were like that. But scratches don't void your warrenty, dents do... As I found out
@kijuto em ng? t? 1h sÃ¯Â¿_ng -&gt; 11h tr?a d?y ?n c?m, ?n xong ng? ti?p ??n t?n bÃ¯Â¿_y gi? ! mÃ¯Â¿_ m?t.... mÃ¯Â¿_ m?t...... !
@KishoreK this is strange, illegal torrents avlbl everywhere, legal DVD not in stock What do I do now???
@kisluvkis oh that is very sad, poor boy.
@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over.
@Knot2serious oh! Btw,@djrocko951 &amp; I tried to go to that Cuban buffet I told u about,so excited..it's closed on Mondays SAD story!
@kremsersenf Away from Tubingen and the Germs, yes, away from friends, not so much
@kristenkreuk fiuhh, nice to get info from you, i'm one of your fans from indonesia. and still waiting for your movie in my country thanx
@kristenkreuk Hey Kristen, thought ur work on Smallville was awesome, havnt seen SF (not released in Aus yet) Any new projects coming up?
@ktml I think its iTunes fault I cant download it on my Mac now &quot;store busy&quot; if you got it, anything awesome in the camerakit update?
@kusasi I had it before, but not sure it is on this phone I will check with you before then, we will go down for the weekend I think!
@Lairosiel oh no, I hope he's ok
@lancehenrikson just writ a @ticketbot thing, it is spamming people with tickets for bands with &quot;that word&quot; in. Probably children too
@laratron alas, I have no Pimms
@latexfetish Sadly that's not a feed For Wordpress a feed usually would be bla.com/feed/ or bla.com/?feed=rss2, but those two don't exist
@leawoodward Quite possibly - though with the cat, its more of a slang phrase to describe his defiant behavior http://bit.ly/189FQI
@lenesha but Im not feeling well, mommy...
@LevenRambin: Take it easy, and be good to you.
@LFTA So ur just gonna delete me like that...Y do I feel like &quot;Tom Cruise&quot; on Jerry Maguire when he got fired right now, yo. LOL!
@LgHague Just uni, ruining my life as per usual
@lickmycupcakes So sad when animals are unhappy, my dog has mastered the reproachful-youre-breaking-my-heart puppy look.
@Linda_James Thank you!! I spent ages on Thursday tidying up, then along came everyone and it looked like a right tip again
@lissie45 sorry, just saw the post, signed up even before i finished reading lol....these guys are gold. feel bad for those who paid 600
@livinginfiction outdoors man..can't get to the gym this week, no time no time dinner soon babe! early next week? or brunch sunday.
@LizDinkel lol, I figured as much...but you never know. We don't talk anymore, maybe you became easily offended...
@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot.
@loisheilig That's understandable. Mine is in the summer, so I was never the birthday girl in school
@LOLTrish hey long time no see! Yes.. Rains a bit ,only a bit LOL , I'm fine thanks , how's you ?
@loseitfatboy good, yea had that same issue last night. Way overloaded. Can't complain saw you smoked your camera
@LOSTmeself ;; uh.. february something, haha! imy!
@loudmouthman yeah, I even turned off rules and spam blocking
@louie094: shooting!?!! be careful, luisa
@louislucci I usually only sleep 4 hours a night or so. Going to bed now, have to get up at 5am
@louizah just watched the repeat of Zain challenge...smart kids!! i feel so blonde What day &amp; time does the show air in TZ, anyone?
@LouLouK Gisburn is great, there are some nice little single track. Did you try some of the new bits? I havent been in a while
@lovebscott Nope, I'm Right Along Wit' You!
@loz_xx i didnt, i dropped the table on it yesterday at krew...
@Lt_Algonquin agreed, I saw the failwhale allllll day today.
@lucy_moore93 HaHAH lol, ignoring definately does not work.. cause they end up jus pissingannoying u more, well ive found that anyway
@lwmedium It is, apparently the Chinese government put pressure on The SA one not to let him in. Whole Peace conference was canceled
@m0nkfish Eww. Hershys kisses are ok, but not amazing
@M4RKM You stuck in traffic then? My journey was traffic free this morning, if it's any help.
@MadNinjaCurl hey neighbor, neither can I
@Maeny Hahah, same here. I dropped out after elementary school. But I can't move to the U.S. without high school graduation. German. U?
@makeherfamous hmm , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike
@makethingstalk I used to love league, back when I was a lad in Wigan it was pretty much compulsory. Then was forced to play Union
@Malunis yea, it is getting annoying.
@mamamusings thanks for link, will keep it for next time as I had already ordered glasses
@MANDY_EMMERSON Bummer, hope your OK!
@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours....
@marcofrissen Pine with IMAP is slow with gmail, and the inbox gets closed from time to time, big hassle
@Marge_Inovera I tried tweetdeck once and I hated it with a passion. Or it hated me, I'm not sure...
@MarieLuv That is still terrible, but unfortunately these things happen. Hope your friend wasn't too upset about being conned like that
