@ashleyemma lucky devil! I'm dreaming of a crispy bacon sandwich	 but no one	 as yet	 has volunteered to go get one
@austinhill I wish I was! Sold out If you have some time let me know	 I would love to hear more about what you are up to!
@awillert im so jealous..i want salsa	 but the cookies were AMAZING!
@awlred they dont exist however	 anodising services do exist	 so i could get it done *-)
@azraeel Got home after 10 in the end	 back in for a 9am start aswell
@BatManYNG I miss my ps3	 it's out of commission Wutcha playing? Have you copped 'Blood On The Sand'?
@beccaacyrusx chyeahhhh ;) my shoulders	 back and legs all hurt atm
@beckamcmaster general cleaning	 very dull
@benackerman BTW my iPhone is acting funny	 dying quickly and freezing and BS. I'm not admitting anything	 just sayin
@BenPritchett goodness me	 how did you find me?? it's good to hear from you Ben! I still have your video game and book...I apologize
@big_blue_wolf Not yet	 no. Doubt I'll get a chance to until tonight. Work's mental	 thanks to BT cutting off 70	000 customers today
@binxy thanks! i started sniffling like crazy at the gym today boohoo	 but lots of vitamin C should do the trick!
